path,name,extension,size_bytes,created,modified,accessed
C:\POSAO VEGA\DependencyInjection\DependencyInjection\bin\Debug\net9.0\Microsoft.OpenApi.dll,Microsoft.OpenApi.dll,dll,239024,2025-09-09 21:55:31.170016,2024-08-06 11:15:10.000000,2025-09-09 22:21:41.513376
C:\POSAO VEGA\DependencyInjection\DependencyInjection\Controllers\WeatherForecastController.cs,WeatherForecastController.cs,cs,842,2025-09-09 21:45:33.972333,2025-09-09 22:11:16.840155,2025-09-09 22:16:07.620164
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\DependencyInjection.csproj.nuget.dgspec.json,DependencyInjection.csproj.nuget.dgspec.json,json,3046,2025-09-09 21:46:08.957064,2025-09-09 21:46:08.957064,2025-09-09 21:46:08.957064
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\DependencyInjection.csproj.nuget.g.props,DependencyInjection.csproj.nuget.g.props,props,1303,2025-09-09 21:46:08.935122,2025-09-09 21:46:08.937204,2025-09-09 21:46:10.248522
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\DependencyInjection.csproj.nuget.g.targets,DependencyInjection.csproj.nuget.g.targets,targets,150,2025-09-09 21:46:08.939865,2025-09-09 21:46:08.939865,2025-09-09 21:46:10.275670
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\project.assets.json,project.assets.json,json,5082,2025-09-09 21:46:08.941880,2025-09-09 21:46:08.947182,2025-09-09 22:16:09.042531
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\project.nuget.cache,project.nuget.cache,cache,653,2025-09-09 21:46:08.951030,2025-09-09 21:46:08.953042,2025-09-09 21:46:08.953042
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\ApiEndpoints.json,ApiEndpoints.json,json,250,2025-09-09 21:55:55.201779,2025-09-09 22:16:10.299237,2025-09-09 22:16:10.299237
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\apphost.exe,apphost.exe,exe,146944,2025-09-09 21:55:30.160956,2025-09-09 22:16:07.050969,2025-09-09 22:16:07.052971
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\Dependen.428E3D85.Up2Date,Dependen.428E3D85.Up2Date,up2date,0,2025-09-09 21:55:31.177177,2025-09-09 21:55:31.177177,2025-09-09 21:55:31.177177
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.AssemblyInfo.cs,DependencyInjection.AssemblyInfo.cs,cs,1030,2025-09-09 21:46:06.754893,2025-09-09 21:46:06.754893,2025-09-09 22:16:06.787092
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.AssemblyInfoInputs.cache,DependencyInjection.AssemblyInfoInputs.cache,cache,66,2025-09-09 21:46:06.688005,2025-09-09 21:46:06.688005,2025-09-09 22:16:06.623605
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.assets.cache,DependencyInjection.assets.cache,cache,1754,2025-09-09 21:46:10.798556,2025-09-09 21:46:10.874693,2025-09-09 22:16:06.470514
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.csproj.AssemblyReference.cache,DependencyInjection.csproj.AssemblyReference.cache,cache,1173,2025-09-09 21:46:10.968921,2025-09-09 21:46:10.984871,2025-09-09 22:16:06.500072
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.csproj.BuildWithSkipAnalyzers,DependencyInjection.csproj.BuildWithSkipAnalyzers,buildwithskipanalyzers,0,2025-09-09 21:55:30.122957,2025-09-09 22:16:07.044969,2025-09-09 22:16:07.044969
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.csproj.CoreCompileInputs.cache,DependencyInjection.csproj.CoreCompileInputs.cache,cache,66,2025-09-09 21:55:05.412529,2025-09-09 21:55:05.412529,2025-09-09 22:16:06.627314
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.csproj.FileListAbsolute.txt,DependencyInjection.csproj.FileListAbsolute.txt,txt,3127,2025-09-09 21:55:31.966771,2025-09-09 21:55:31.966771,2025-09-09 22:16:07.102959
C:\POSAO VEGA\DependencyInjection\DependencyInjection\obj\Debug\net9.0\DependencyInjection.dll,DependencyInjection.dll,dll,9216,2025-09-09 21:55:29.753202,2025-09-09 22:16:07.042782,2025-09-09 22:16:34.699706
